S. No.,text,task_1
860,"খুব শীগ্রই আসাম ত্রিপুরা meghalaya teo উন্নয়ন এর সরকার হইবে। Abhisek বাবু এর হাত dore। আজ বাংলা উন্নয়ন এর জোয়ারে ভাসলে। আসাম ত্রিপুরা কেনো বন্যা তে ভাসবে। কেনো তার কন্যাশ্রী লক্ষ্মীর ভান্ডার পাবে না। আজ বাংলাতে কোনও খেতে না পাওয়া মানুষ নাই।। পাহাড় থেকে দীঘা আজ উন্নয়নের জোয়ারে ভাসছে। দিদি ma ar মত গোটা বাংলা কে সুন্দর করে সাজিয়ে তুলেছেন। ওই রাজ্য গুলিও উন্নয়ন হবে। দুর্নীতি বন্দ হবে ,🌱💚🌱 যারা বাংলার এর বাইরে দিদি কিছু জিততে পারবেন না বলেন তাদের বলে রাখি মেগালয়ে ১২ টা mla আছেন।",NOT
861,এই ঢ্যামনা ঢেমনি গুলিকে দেখে লজ্জাও লজ্জাতে মাথা নিচু করে দেয়।,HOF
862,বাংলাদেশের যখন আমাদের দুর্গা ঠাকুরের মূর্তি ভাঙ্গা হলো এবং আমাদের হিন্দুদের ওপর এত অত্যাচার হলো এরা একটা কথা বলল না মুখে তারা সেলুটেপ লাগিয়ে বসে ছিল এখন কোথা থেকে আবার উদ্ভূত হয়েছে সত্যিই এদের বুদ্ধিজীবী কারা বানায়।,NOT
863,ছোট বাবা কি উপর দেখে বলতো নাকি নিচে দেখে?😂,NOT
864,বড়ো বাল তুমি,HOF
865,ভালো হয়েছে এটার দরকার ছিল,NOT
866,"টুকরে গ্যাং যেখানে ঢুকে স্লোগান দেয়, সেখানে কিভাবে যাই বলুন তো...! ",NOT
867,"মোদি অন্ধ ভক্ত দের চোখ গুলো হিন্দু হিন্দু করে নষ্ট,,,",HOF
868,১ ইঞ্চি ছাড়তে হবে না। শুধু ৫৬ ইঞ্চি টা কাউকে দিয়ে দিন,NOT
869,এই আগাছাগুলো না দেশের না সমাজের কোনো কাজে লাগে । বাংলার মানুষের জন্য উনি কি করেছেন ? কৃষক আন্দোলের নামে যখন লালকেল্লায় ভারতের জাতীয় পতাকা খুলে মাটিতে পদদলিত করে খালিস্তানের পতাকা উড়ানো হলো সেইদিন উনি কি শীতঘুমে ছিলেন । রাজ্যে ভোট পরবর্তী হিংসায় চারিদিকে যখন খুন ধর্ষণ লুটপাট চলল বাংলার অনেক মানুষ ঘর ছাড়া হলো তখন কি উনার চোখে ন্যাবা হয়েছিল । দমদম পার্কের জুতোর প্যান্ডেল থেকে শুরু করে বাংলাদেশের দুর্গামূর্তি ভাংচুর এবং হিন্দু নিধনের মতো ঘটনায় উনি চুপ থাকেন । সিলেক্টিভ বুদ্ধিজীবী । উনাদের গ্রহণযোগ্যতা ও বিশ্বাসযোগ্যতা অনেকদিন আগেই ফুরিয়ে গেছে । গাঁয়ে মানে না আপনি মড়ল ।,HOF
870,দুনিয়ার লোফার এক হও😂😂😂😂😂,NOT
871,"মিথ্যেকে, গুজবকে যুক্তি দিয়ে নস্যাৎ করতে হবে/ যুক্তিবাদী মানে গালাগালি বা দাদাগিরি বা গুণ্ডামি করা নয়/ কোনো মহিলাকে নোংরা ইঙ্গিত করা নয়/ ভুত ইশ্বর জ্যোতিষ এসব গুজব/ সেটাই বৈজ্ঞানিক চিন্তা ভাবনা দিয়ে প্রতিহত করতে হবে/ একদম সামনে থেকে লড়তে হবে...এই লড়াই হাতাহাতি নয়/ কদর্য ভাষা ব্যবহারও নয়",NOT
